ENTIDAD;Abr;Calle;Número;Piso;Dto;CP;Ciudad;Provincia;Tel I;Tel II;Fax;Correo;Web Site
Cámara de Comercio e Industria y Producción de Brandsen;;Mitre;N° 319;;;1980;Brandsen;Buenos Aires;(54) (02223) 442-263;;(54) (02223) 442-263;camara@scdplanet.com.ar;http://
Cámara de Comercio Exterior Bonaerense;;Calle 48;Nº 515;;;1900;La Plata;Buenos Aires;(54) (0221) 489-0203 (presidente);;;comintal@fibertel.com.ar;http://
Cámara de Comercio Industria y Producción;;Almafuerte;Nº 171;;;6409;Tres Lomas;Buenos Aires;(54) (02394) 420-191;;;cc3lomas@ssdnet.com.ar;http://
Cámara de Comercio, Agropecuaria, Industrial, Profesional y Servicios de Mariano Acosta - CAIPSMA ;;Avenida Constituyentes y Cobo;N° 610;;;1723;Mariano Acosta;Buenos Aires;(54) (0220) 499-6074;;;jm_gon_zabala@hotmail.com;http://
Cámara de Comercio, Industria y Producción de 25 de Mayo - CCIP;;Calle 27  - Entre 10 y 11 -;Nº 929;;;6660;25 de Mayo;Buenos Aires;(54) (02345) 465-490;(54) (02345) 462-503;(54) (02345) 465-490;ccip@soon.com.ar;http://
Cámara de Comercio, Industria y Producción de Ayacucho - CCIPA ;;España;Nº 1126;;;7150;Ayacucho;Buenos Aires;(54) (02296) 453-112;;(54) (02296) 453-112;julio_paz@ciudad.com.ar;http://
Cámara de Comercio, Industria y Producción de Pehuajó - CCIPP ;;Hipólito Yrigoyen;Nº 635;;;6450;Pehuajó;Buenos Aires;(54) (02396) 472-171 ;(54) (02396) 470-520 (Gte.);(54) (02396) 474-777;gerenciapehuajo@speedy.com.ar;http://www.camaradepehuajo.com.ar
Cámara de Comercio, Industria y Producción de Saladillo - CCIP ;;Avenida San Martín;Nº 3251;;;7260;Saladillo;Buenos Aires;(54) (02344) 434-406 (mutual);(54) (02344) 15-439-708 (Gte.);(54) (02344) 434-406;camarasaladillo@coopsal.com.ar;http://
Cámara de Comercio, Industria y Servicio de Escobar;;César Díaz;Nº 745;Piso 1ª;;1625;Escobar;Buenos Aires;(54) (03488) 420-810 (cámara);(54) (03488) 432-776 (of. vecina);;cede@cotelnet.com.ar;http://
Cámara de Comercio, Industria y Servicios de Valentín Alsina;;Jean Jaures;Nº 2200;;;1822;Valentin Alsina;Buenos Aires;(54) (11) 4209-6573;;;camaracv@yahoo.com.ar;http://
Cámara de Comercio, Industria, Bienes Raíces, Productores y Profesionales de Luis Guillón;;Camino de Cintura ó Santa. Catalina - entre Moreno y Belgrano;Nº 755;;;1838;Luis Guillón;Buenos Aires;(54) (11) 4290-6996;(54) (11) 155-228-3786(Lukaszewicz);(54) (11) 4290-3350;metalurgicaguillon@speedy.com.ar;http://
Cámara de Comercio, Industria, Producción y Bienes Raíces de 9 de Julio;;San Martín;Nº 1223;;;6500;9 de Julio;Buenos Aires;(54) (02317) 431-560;(54) (02317) 431-558;(54) (02317) 432-720;camaradecomercio@internueve.com.ar;http://
Cámara de Comercio, Industria, Producción y Servicios de Chascomús;;Alvear;N° 101;;;7130;Chascomús;Buenos Aires;(54) (2241) 431-324;;(54) (2241) 431-324;camaradecomerciochascomus@speedy.com.ar;http://
Cámara de Comercio, Industria, Producción y Servicios General Belgrano;;Avenida España;Nº 655;;;7223;General Belgrano;Buenos Aires;(54) (02243) 453-119;(54) (02243) 02241-15-509-494 (Cel. Pte);(54) (02243) 452-980;camaracomind@s16.coopenet.com.ar;http://
Cámara de Comercio, Industria, Profesional y Bienes Raíces de José María Ezeiza;;E. Echeverria;N° 169;;;1804;José María Ezeiza;Buenos Aires;(54) (11) 4232-3661;;(54) (11) 4232-3661;camaraezeiza@yahoo.com.ar;http://
Cámara de Comercio, Industria, Profesionales y Bienes Raíces de la Ciudad de Grand Bourg;;El Plumerillo;Nº 1541;;;1615;Grand Bourg;Buenos Aires;(54) (02320) 481-400;(54) (02320) 412-771;(54) (02320) 481-400;camaragb@gmail.com;http://
Cámara de Comercio, Industria, Servicios y Turismo de Pigüe;;Belgrano;N° 401- 5;;;8170;Pigüe;Buenos Aires;(54) (02923) 402-203;(54) (02923) 406-747;;ccipigue@s8.coopenet.com.ar;
Cámara de Comercio, Producción y Servicios de Juan José Paso;;Belgrano;Nº 178;;;6474;Juan Jose Paso;Buenos Aires;(54) (02396) 498-356;(54) (02396) 498-355;(54) (02396) 498-354;curso_ccia@hotmail.com;http://
Cámara de Industria y Comercio de Matanza - CICM ;;Entre Ríos;Nº 3026;;;1754;San Justo;Buenos Aires;(54) (11) 4651-1830;;(54) (11) 4484 - 5401;info@cicm.com.ar;http://www.cicm.com.ar
Cámara de Laboratorios Argentinos Medicinales Veterinarios - CLAMEVET;;Maipú;Nº 1536;Piso 1º;;1638;Vicente López;Buenos Aires;(54) (11) 4139-5555 INT.105//4796-4397;(54) (11) 154-579-2818 (Cel Sr. Rush Gte.);(54) (11) 4139-5555  Int.103;info@clamevet.com.ar;http://www.clamevet.com.ar
Cámara de Microempresarios de Lanús - CAMILANUS;;Ministro Brin;Nº 3752;;;1826;Remedios de Escalada - Lanús;Buenos Aires;(54) (11) 4249-7991;;(54) (11) 4249-8765;info@camilanus.com.ar;http://www.camilanus.com.ar
Cámara de Operadores Mayorista Frutihortícola del Mercado Central - COMAFRU;;Autopista Ricchieri y Boulogne Sur Mer - Mercado Central de Buenos Aires;Sin Nro.;Piso  1º;Ofic. 118;1770;Villa Celina;Buenos Aires;(54) (11) 4442-8831;(54) (11) ;(54) (11) 4442-8831;comafru@yahoo.com.ar;http://
Cámara de Producción, Industria, Comercio y Servicios de Henderson;;Avenida San Martín ;Nº 505;;;6465;Henderson;Buenos Aires;(54) (02314) 15-625-313 (Pte.);(54) (02314) 15-616-680 (Secretario);(54) (02314) 452-000 (Neg. Secr.);ehuala@hcenet.com.ar;http://
Cámara de San Fernando de Industria, Comercio y Servicios - CASAFICO;;Quirno Costa;Nº 1333;Planta Alta;;1646;San Fernando;Buenos Aires;(54) (11) 4890-1146;;(54) (11) no tienen fax;casafico@casafico.org;http://www.casafico.org
Cámara de Sujetos del Sistema de GNC - CASS GNC;;Avenida Hipólito Irigoyen;Nº 12286;;;1846;Adrogue;Buenos Aires;(54) (11) 4294-2377;;(54) (11) 4294-2377;cassgnc@yahoo.com.ar;http://
Cámara de Tintoreros de la Provincia de Buenos Aires;;Alsina;Nº 1573;;;1832;Lomas de Zamora;Buenos Aires;(54) (11) 4292-8054;;;;http://
Cámara del Comercio y la Industria del Partido de Almirante Brown - CACINAB ;;Esteban Adrogué;Nº 1177;;;1846;Almirante Brown;Buenos Aires;(54) (011) 4294-4056;(54) (011) 4214-6647;;cacinab@speedy.com.ar;www.cacinab.org.ar
Cámara del Comercio, la Industria, Bienes Raíces y Producción Rural de Esteban Echeverría;;Paris Robertson;N° 140;;;1842;Monte Grande;Buenos Aires;(54) (11) 4290-4699;(54) (11) 4281-7738;(54) (11) 4296-8182 (IDEB) Ing.Cardozo;camara_ee@yahoo.com.ar;http://
Cámara Económica de Tres Arroyos - CETA ;;Avenida Moreno;Nº 467;;;7500;Tres Arroyos;Buenos Aires;(54) (02983) 430-755;(54) (02983) 431-019;(54) (02983) 431-019//430-755;camaratsas@eternet.cc;http://www.camaraeconomicatsas.com.ar
Cámara Económica Mercedina - CEM ;;Calle 20 - esquina 21;Nº 507;Piso 1º;;6600;Mercedes;Buenos Aires;(54) (02324) 420-502;;(54) (02324) 430-765;info@camaraeconomica.com.ar;http://www.camaramercedina.com.ar
Cámara El Talar, Industria, Comercio, Profesionales y Servicios - CET;;Avenida Hipólito Yrigoyen;Nº 1717;;;1618;El Talar;Buenos Aires;(54) (11) 4726-8686 (Regondi);(54) (11) 5233-3344 // 4736-7889;(54) (11) 4726-8686;camaraeltalar@yahoo.com.ar;http://
Cámara Empresaria de Benito Juárez;;Avenida Libertad;N° 221;;;7020;Benito Juárez;Buenos Aires;(54) (02292) 451-497;(54) (02292) 453-113 (Pte.);(54) (02292) 451-497;camaraempresariajuarez@juarez-online.com.ar;http://
Cámara Empresaria de Olavarría;;España;Nº 2882;;;7400;Olavarría;Buenos Aires;(54) (02284) 420-756(8a17hs);(54) (02284) 445-988 (Gte Oscar);(54) (02284) 441-044//411044;camempresaria@coopenet.com.ar;http://
Cámara Empresaria de Tandil - CET ;;Mitre;Nº 856;;;7000;Tandil;Buenos Aires;(54) (02293) 447-891/92/93;;(54) (02293) 447-890;secretario@camaraempresaria.org.ar;http://www.camaraempresaria.org.ar
Cámara Empresaria de Vicente López - CEVL ;;Avenida Maipú;Nº 1536;Piso 1º ;;1602;Florida - Vicente López;Buenos Aires;(54) (11) 4139-5555;(54) (11) 4139-5555 int Vice Pres;(54) (11) 4139-5555 int 103;info@cvl.org.ar;http://www.cvl.org.ar
Cámara Regional de Comercio e Industria de Lomas de Zamora;;Acevedo;Nº 48;;;1832;Lomas de Zamora;Buenos Aires;(54) (11) 4245-2101;(54) (11) 4245-2102/04;;camaralz@speedy.com.ar;http://www.camaralz.org.ar
Cámara Regional de Comercio e Industria de San Francisco Solano;;Calle 842;Nº 2517 - 19;;;1881;San Francisco Solano;Buenos Aires;(54) (11) 4212-4921;;(54) (11) 4212-2518;info@lacamarasolano.org;http://
Cámara Unión del Comercio e Industria de Campana - CUCEI;;Rocca;N° 171;;;2804;Campana;Buenos Aires;(54) (03489) 422-143;(54) (03489) 424-161;;cucei@cucei.com.ar;http://www.cucei.com.ar
Cámara Usuarios Zona Franca La Plata;;Don Bosco e  Hipólito Irigoyen;Sin Nro.;;;1925;Ensenada;Buenos Aires;;;;;http://
Centro Comercial de Munro;;Belgrano;Nº 2425;;;1605;Munro;Buenos Aires;(54) (11) 4756-3535(Es un locutorio);(54) (11) 4762-2120;;parquetsmarc@uol.com.ar;http://
Centro Comercial de Plátanos - Hudson;;Avenida 55;Nº 4711;;;1885;Hudson;Buenos Aires;(54) (02229) (sin prefijo) 4215-0664 Benitez;;;cocheriagosdem@gmail.com;http://
Centro Comercial de Villa Madero;;Cuzco;N° 1200;;;1768;Villa Madero;Buenos Aires;(54) (11) 4652-4829;;(54) (11) no tienen fax;centrocomercial@lomasdelmirador.org;http://
Centro Comercial e Industrial de Avellaneda;;Avenida Mitre;Nº 429;1°;;1870;Avellaneda;Buenos Aires;(54) (11) 4201-7613;;(54) (11) 4201-7613;cciavellaneda@speedy.com.ar;www.ccavellaneda.com.ar
Centro Comercial e Industrial de Berazategui - CCIB ;;Avenida Presidente Perón (14);Nº 5124;;;1884;Berazategui;Buenos Aires;(54) (11) 4256-1923;(54) (11) ;(54) (11) 4216-1179;centrocom@speedy.com.ar;http://
Centro Comercial e Industrial de Castelar;;Montes de Oca;Nº 2355;;;1712;Castelar;Buenos Aires;(54) (11) 4628-6691;;(54) (11) 4489-1991;prensacamaracastelar@yahoo.com.ar;http://
Centro Comercial e Industrial de Chivilcoy;;Avenida Soarez;Nº 33;;;6620;Chivilcoy;Buenos Aires;(54) (02346) 433-557;;(54) (02346) 423-700;cecoinchivilcoy@yahoo.com.ar;http://
Centro Comercial e Industrial de Huanguelén;;Calle 9;N° 559;;;7545;Huanguelen Sur;Buenos Aires;(54) (02933) 432-324;;(54) (02933) 432-324;ctro-comh@s17coopenet.com.ar;http://
Centro Comercial e Industrial de Lanús;;9 de Julio;Nº 1535;PB;;1824;Lanús;Buenos Aires;(54) (11) 4241-0033;(54) (11) 4225-1541;(54) (11) 4241-0033;ccilanus@live.com.ar;http://www.centrodelanus.org.ar
Centro Comercial e Industrial de Longchamps;;Avenida Aviación;Nº 785;;;1854;Longchamps;Buenos Aires;;;;;http://
Centro Comercial Luján - CCL ;;Francia;Nº 1066;;;6700;Luján;Buenos Aires;(54) (02323) 433-442;;(54) (02323) 433-442;cclujan@speedy.com.ar;http://
Centro Comercial, Industrial y de Propietarios de Bienes Raíces de Rafael Calzada;;Colón;Nº 3375;;;1847;Rafael calzada;Buenos Aires;;;;;http://
Centro de Comercial e Industrial E.J.S. Crovara;;Avenida Crovara;Nº  844;;;1768;La Matanza - C. Madero ;Buenos Aires;(54) (11) 4652-3769;;(54) (11) 4652-0651;ccicrovara@hotmail.com;http://
Centro de Comerciantes, Industriales y Propietarios de Remedios de Escalada;;Juan de Garay;Nº 77;;;1826;Remedios de Escalada;Buenos Aires;(54) (11) 4242-3248;;(54) (11) 4242-3248;ccipescalada@yahoo.com.ar;http://
Centro de Comerciantes, Industriales y Propietarios de Wilde;;Las Flores;Nº 24;;;1875;Wilde;Buenos Aires;(54) (11) 4207-0101;;(54) (11) 4207-0101;info@ccwilde.org.ar;http://www.ccwilde.org.ar
Centro de Comercio e Industria de Baradero;;General San Martín;N° 1232;;;2942;Baradero;Buenos Aires;(54) (03329) 482007;;(54) (03329) 480113;ccibaradero@redsp.com.ar;http://
Centro de Comercio e Industria de Carlos Tejedor;;Alberto Almirón;N°428;;;6455;Carlos Tejedor;Buenos Aires;(54) (02357) 420-568;;;cdecomercio@ctejedor.com.ar;http://
Centro de Comercio e Industria de San Pedro;;Mitre;Nº 650;;;2930;San Pedro;Buenos Aires;(54) (3329) 425-266;;(54) (3329) 424-151;centrodecomerciosp@arnet.com.ar;http://www.ccisanpedro.com.ar
Centro de Comercio e Industria y Producción de Villa Ramallo;;Avenida San Martin;Nº 179;;;2914;Villa Ramallo;Buenos Aires;(54) (03407) 488-520;;(54) (03407) 488-520;centrodecomercio@arnetbiz.com.ar;http://
Centro de Comercio Industria, Producción y Propiedad de San Andrés de Giles;;Moreno;Nº 459;;;6720;San Andrés de Giles;Buenos Aires;(54) (11) 440-168;;(54) (11) 440-168;ctrogiles@arecoonline.com.ar;http:// no tienen
Centro de Comercio, Propiedad e Industria de Tres Algarrobos - CCPITA;;25 de Mayo;Nº 221;;;6231;Tres Algarrobos;Buenos Aires;(54) (03388) 492-147;;(54) (03388) 492-364 (Fax Dominguez);ccpita@servicoopsa.com.ar;http://
Centro de Estudios para la Planificación y el Desarrollo;;Santiago del Estero;N° 6366;;;1605;Carapachay;Buenos Aires;(54) (11) 4796-3657;;(54) (11) 4796-3657;info@plande.org.ar;http://www.plande.org.ar
Centro Empresario de Azul - CEDA;;España;Nº 620;;;7300;Azul;Buenos Aires;(54) (02281) 424-028;(54) (02281) 424-058;(54) (02281) 424-058;cedazul@speedy.com.ar;http://
Centro PYME Bernal - Don Bosco;;Madame Curie;Nº 705;;;1876;Bernal;Buenos Aires;(54) (11) 4252-0913(part. sr. Moisio);(54) (11) 4252-0786 ( casa del secretario);(54) (11) 4250-8599;cpyme@sinectis.com.ar;http://
Centro Unión Comercial e Industrial de Bragado - CUCI;;Brown;Nº 139;;;6640;Bragado;Buenos Aires;(54) (02342) 422-373;(54) (02342) 430-558;(54) (02342) 422-373/430-558;cucibragado@speedy.com.ar;http://www.cucibragado.blogspot.com
Centro Unión Comercio e Industrias de Lincoln - C.U.C.L;;Av. Massey;N° 808;;;6070;Lincoln;Buenos Aires;(54) (02355) 422-288;(54) (02355) 423-259;;cuci@lincoln.net.ar;
Consejo para la Producción y el Desarrollo de Coronel Suárez;;Mitre;N° 905;;;7540;Coronel Suárez;Buenos Aires;(54) (02926) 432-533;;(54) (02926) 432-533;coprodesu@speedy.com.ar;http://www.coprodesu.com.ar
Corporación del Comercio, Industria y Servicios de Bahía Blanca - CCIS;;Alsina;Nº 19;Piso 2º;;8000;Bahía Blanca;Buenos Aires;(54) (0291) 452-2112;;(54) (0291) 452-2112;secretariacorporacion@bvconline.com.ar;http://www.ccis.com.ar
Corporación Empresaria de Buenos Aires;;Cuzco;Nº 1200;;;1768;Loma del Mirador;Buenos Aires;(54) (11) 4652-9273;;;info@universoempresarial.com.ar;http://
Liga de Comercio e Industria de Las Flores;;San Martín;Nº 393;;;7200;Las Flores;Buenos Aires;(54) (02244) 452-398;;(54) (02244) 452-398;laliga@s2.coopenet.com.ar;http://
Liga del Comercio y la Industria de San Martín - LCISM;;Calle 81 (ex Sarmiento);Nº 2051;;;1650;San Martín;Buenos Aires;(54) (11) 4755-0354;;(54) (11) 4713-6923;gerencia@ligadecomercio.com.ar;http:// www.ligadecomercio.com.ar
Sociedad Amigos de la Calle Paraná de Villa Adelina;;Paraná;Nº 6661 - 6663;;;1607;Villa Adelina;Buenos Aires;(54) (11) 4763-1064;(54) (11) ;(54) (11) 4766-2211/3894;informes@s-amigoscalleparana.com.ar;http://
Sociedad de Comerciantes, Industriales, Propietarios y Afines de Pilar - SCIPA;;Pedro Lagrave;Nº 563;;;1629;Pilar;Buenos Aires;(54) (02322) 428-822;(54) (02322) 426-984;(54) (02322) 428-822;info@scipapilar.org.ar;http://www.scipapilar.org.ar
Sociedad de Comercio e Industria de Junín;;25 de Mayo;Nº 65;;;6000;Junín;Buenos Aires;(54) (02362) 430-912;(54) (02362) 632-345;(54) (02362) 635-255;sociedadjunin@acerca.com.ar;http://www.scij.com.ar
Unión Comercial, Industrial y Afines de Ituzaingó - UCIADI;;Olazábal;Nº 841;;;1714;Ituzaingo;Buenos Aires;(54) (11) 4661-2200 ;(54) (11) 4623-9336;(54) (11) 4661-2200;uciadi@speedy.com.ar;http://www.uciadi.com.ar
Unión de Microempresarios de Malvinas Argentinas - UMMA;;Baroni;Nº 1585;;;1613;Polvorines;Buenos Aires;(54) (11) 4663-3796;(54) (11) 4663-1505 (Locutorio);(54) (11) 4663-1465 (ADELMA,enviar ahí fax);microproduccion@yahoo.com.ar;www.umma-microempresas.com.ar
Unión de Propietarios de Talleres de Reparación de Automóviles - UPTRA;;Calle 9;Nº 726;;;1900;La Plata;Buenos Aires;(54) (0221) 421-8344+ Cel Pte.;(54) (0221) 15-55-1811(Cel. Secret.);(54) (0221) 421-8344;uptra@hotmail.com;http:// NO POSEE
Unión del Comercio y la Industria de Villa Gesell;;Avenida Buenos Aires;Nº 750;Local;;7165;Villa Gesell;Buenos Aires;(54) (02255) 467-022;;;uniondecomercio@gesell.com.ar;http://
Unión del Comercio, la Industria y Producción de Mar del Plata - UCIP;;Jujuy;Nº 1747;;;7600;Mar del Plata;Buenos Aires;(54) (0223) 499-7777 (conmutador);(54) (0223) 499-7769(secretaria de presidencia, Mabel Martinez);(54) (0223) 499-7788;secretaria@ucip.org.ar;http://www.ucip.org.ar
Unión Empresarial del Partido de Moreno - UEM;;Avenida Victorica;Nº 1128;Local 12B NINE Shopping Moreno;;1744;Moreno;Buenos Aires;(54) (0237) 463-0846;(54) (0237) 463-3400;(54) (0237) 463-0846;uem@uem.com.ar;http://www.uem.com.ar
Unión Industrial de Berazategui - UIB;;Calle 15 entre 139 y 140;Nº 3952;;;1884;Berazategui;Buenos Aires;(54) (11) 4256-8966;;(54) (11) 4256-8966;info@uib.org.ar;http://www.uib.org.ar
Unión Industrial del Oeste - UIO;;La Cantabrica;Nº 329;;;1706;Haedo;Buenos Aires;(54) (11) 4628-3239;;(54) (11) 4627-2476;uio@uio.com.ar;http://www.uio.com.ar
Cámara Inmobiliaria de Catamarca;;San Martín;N° 579;;;4700;San Fernando de Catamarca;Catamarca;(54) (03833) 432-027;(54) (03833) 15-408-328(cel del Presidente);(54) (03833) 432-027;julioibarra10@yahoo.com.ar;http://
Unión Comercial de Catamarca;;Sarmiento (dirección del Sr. Di Giovanni);Nº 395;;;4700;San Fernando de Catamarca;Catamarca;(54) (03833) 15-654-530// (Mohaded);(54) (03833) 426-295 (Di Giovanni);(54) (03833) 486-800 (oficina Mohaded);shutfene@cedeconet.com.ar;http://
Asociación de Empresarios de Barranqueras;;Sargento Cabral;N° 5450;;;3503;Barranquera;Chaco;(54) (03722) 481-660;;(54) (03722) 480-909;delpuertofm@arnet.com.ar;http://
Asociación del Comercio, Industria y Producción de Las Breñas;;Avenida General  Jones;Nº 1954;;;3722;Las Breñas;Chaco;(54) (03731) 460-102;;(54) (03731) 461-975;aciplasbrenas@hotmail.com;http://
Asociación Red de Pequeñas y Medianas Empresas - PYMES;;Pasaje Guerrero;Nº 455;1º;;3500;Resistencia;Chaco;(54) (03722) 452-210;;(54) (03722) 452-210;asrepymes@hotmail.com;http://
Cámara de Comercio Exterior del Chaco;;Juan Domingo Perón;Nº 111;Piso 2º;;3500;Resistencia;Chaco;(54) (03722) 435-536 (Sede Fechaco);;(54) (03722) 435-536;gerencia@fechaco.com.ar;http://
Cámara de Comercio, Industria y Producción de Coronel Du Graty;;Mármol;Nº 492;;;3541;Coronel Du Graty;Chaco;(54) (03735) 498-577;(54) (03735) 15-630-1521(Presidente);(54) (03735) 498-577;polinijc@drugraty.com.ar;http://
Cámara de Comercio, Industria y Producción de Hermoso Campo;;Jorge Corradi;Nº 41;;;3733;Hermoso Campo;Chaco;(54) (03735) 495-902;;(54) (03735) 495-902;sterzer2@yahoo.com.ar;http://
Cámara de Comercio, Industria y Producción de Machagai - CCIPM;;Córdoba;Nº 57;;;3534;Machagai;Chaco;(54) (03734) 470-984;;(54) (03734) 470-984;info@camaracomerciomacha.com.ar;http://
Cámara de Comercio, Industria y Producción de Resistencia;;Peatonal Juan Domingo Perón;Nº 111;Piso 3º;;3500;Resistencia;Chaco;(54) (03722) 448-500 ;;(54) (03722) 431-177;gciacam@camaracomerciorcia.com.ar;http://www.camaracomerciorcia.com.ar
Cámara de Comercio, Industria y Producción de San Bernardo;;25 de Mayo;Nº 361;;;3701;San Bernardo;Chaco;(54) (03735) 496-895 (Neg. Pte.);(54) (03735) 496-414 (Neg. Tesorero);(54) (03735) 496-438;anagmega@hotmail.com;http://
Cámara de Comercio, Industria y Producción de Villa Ángela y Pueblos Circunvecinos;;Avenida Uruguay;Nº 171;;;3540;Villa Angela;Chaco;(54) (03735) 430-506;(54) (03735) 430-650;(54) (03735) 430-650;ccva@angela.com.ar;http://
Cámara de Comercio, Industria, Producción y Servicio de Presidencia Roque Sáenz Peña - CCIPS;;Mariano Moreno ;Nº 845;Planta Alta;;3700;Roque Saenz Peña;Chaco;(54) (03732) 422-068;(54) (03732) 421-435;(54) (03732) 426-832;camaradecomerciosp@arnet.com.ar;http://
Cámara de Comercio, Industria, Producción y Servicio del Departamento de Bermejo;;Avenida 25 de Mayo;Nº 1086;;;3500;La Leonesa;Chaco;(54) (03722) 470-733;(54) (03722) 470-388 (Secretario);(54) (03722) 471-130;serviciossanfranciscosrl@hotmail.com;http://
Cámara de Comercio, Industria, Producción y Servicios de Provincia de la Plaza;;Sargento Cabral;Sin Nro.;;;3506;Presidencia de la Plaza;Chaco;(54) (03734) 420-301 (Neg);;(54) (03734) 420-301;bruno_garcia04@hotmail.com;http://
Cámara de Comercio, Producción, Industria y Servicios de General Pinedo - CCPI y S;;Calle 14 esquina 13;Sin Nro.;;;3732;General Pinedo;Chaco;(54) (03731) 480-547;(54) (03731) (03735)15-630-039;(54) (03731) 480-329;miguel@dugraty.com.ar;http://
Cámara de la Industria, Diseño, Indumentaria y Textil del Chaco - CIDITECH;;Mitre Esquina Santa Fe;Universidad Popular;;;3500;Resistencia;Chaco;(54) (03722) 446-768;(54) (03722) 15-335-322;(54) (03722) 446-768;fabian_p_barreto@hotmail.com;http://
Cámara de la Producción, Industria y Comercio de Quitilipi;;La  Rioja;Nº 270;;;3530;Quitilipi;Chaco;(54) (03732) 480-004;(54) (03732) 480-023 (Neg.  Sr. Villacorta);(54) (03732) 481-662;skochowiec@hotmail.com;http://
Cámara del Comercio Automotor y Afines del Chaco;;Alberdi;Nº 721;;;3500;Resistencia;Chaco;(54) (03722) 434-065 (Local del Pte. Cabral);(54) (03722) 434-066//429-744;(54) (03722) 433-756;autocabral@gigared.com.ar;http://
Cámara Inmobiliaria del Chaco;;Julio A. Roca ;N° 471;;;3500;Resistencia;Chaco;(54) (03722) 435-840 (Part. vice Sr. Camors);(54) (03722) 436-482(cámara);;sironi@gigared.com;http://
Cámara Regional Económica El Zapallar - CRELZ;;Mariano Moreno;Nº 10;;;3509;General San Martín;Chaco;(54) (03725) 421-581;;(54) (03725) 421-581;crelzapallar@yahoo.com.ar;http://
Centro de Comercio, Industria, Producción, Servicios y Afines de Campo Largo;;Manuel Belgrano;Sin Nro.;;;3716;Campo Largo;Chaco;(54) (03732) 495-043;;(54) (03732) 495-043;hgaspoz@yahoo.com.ar;http://
Centro de Informes Comerciales de Resistencia - CICRE ;;General Vedia;Nº 184;Planta Alta;;3500;Resistencia;Chaco;(54) (03722) 450-888;(54) (03722) 429-744;(54) (03722) 433-756;gerencia@cicre.org.ar;http://www.cicre.org.ar
Colegio de Corredores Inmobiliarios de Provincia del Chaco - CCIC;;Peatonal Perón;Nº 111;Piso 2º;;3500;Resistencia;Chaco;(54) (03722) 429-771;;;colegioinmobiliariochaco@gmail.com;http://
Colegio de Farmacéuticos del Chaco;;San Lorenzo;Nº 375;;;3500;Resistencia;Chaco;(54) (03722) 436-253;(54) (03722) 426-119;(54) (03722) 436-253 // 426-119;cfchaco@gigared.com;http://
Instituto de Jóvenes Empresarios de Federación Económica del Chaco;;Juan Domingo Perón;Nº 111;Piso 2º;;3500;Resistencia;Chaco;(54) (03722) 435-536;;;info@ijefech.com.ar;http://www.ijefech.com.ar
Cámara de Comercio e Industria del Este de Chubut;;Avenida Fontana;Nº 355;;;9100;Trelew;Chubut;(54) (02965) 420-802;(54) (02965) 420-317 (Cámara);(54) (02965) 433-965;cicech@ar.inter.net;http://www.cicech.com.ar
Cámara de Comercio, Industria y Producción de Comodoro Rivadavia - CACIPCR;;Avenida Rivadavia;Nº 452;;;9000;Comodoro Rivadavia;Chubut;(54) (0297) 446-6500;(54) (0297) 447-0300;(54) (0297) 446-6500;info@cacipcr.com.ar;http://www.cacipcr.com.ar
Cámara de Comercio, Industria, Producción y Turismo del Oeste del Chubut;;25 de Mayo;Nº 415;Planta Alta;Local 5;9200;Esquel;Chubut;(54) (02945) 451-447;(54) (02945) 450-983 (Negocio);;camcomesq@speedy.com.ar;http://
Cámara de Comercio, Turismo, Pesca y Ganadería de Península Valdés;;Avenida de las Ballenas - Puerto Pirámide;Sin Nro.;;;9121;Península Valdés;Chubut;(54) (02965) 495-092 Grosso;(54) (02965) 495-030 (Hotel Haugaard);;cata@hosteriaparadise.com.ar;http://
Cámara de Industria y Comercio de Rawson - CICR;;Pasaje Juan Muzzio;Nº 157;;;9103;Rawson;Chubut;(54) (02965) 484-621;;(54) (02965) 484-621;yohanna_cicrw@yahoo.com.ar;http://www.cicderawson.com.ar
Cámara de Industria, Comercio y Producción de Puerto Madryn - CAMAD;;Paulina Escardo (y Gob. Galina);sin nro.;;;9120;Puerto Madryn;Chubut;(54) (02965) 471-572;;(54) (02965)  ;secretaria@cicpm.org;http://www.cicpm.org
Asociación Comerciantes Minoristas de Carne de Córdoba;;R. de Santa Fé;N° 551;;;5000;Córdoba;Córdoba;;;;;http://
Asociación de Empresarios de la Región Centro Argentino - AERCA;;San Juan;N° 1369;;;5900;Villa María;Córdoba;(54) (0353) 453-1378;(54) (0353) 154-299-794;(54) (0353) 453-4814;aerca@arnet.com.ar;http://www.aerca.org.ar
Cámara de Comerciantes e Industriales Mayoristas de la Provincia de Córdoba - CCIM;;Buenos Aires;Nº 330;E.P.;Of. 6;5000;Córdoba;Córdoba;(54) (0351) 428-0585;(54) (0351) 428-0585;;camara_mayorista@arnet.com.ar;http://www.camaramayoristacba.com.ar
Cámara de Comerciantes en Artefactos para el Hogar de Córdoba;;Gral. Paz;Nº 79;Piso 3º;;5000;Córdoba;Córdoba;(54) (0351) 422-9767(Int. 26) ;(54) (0351) 422-9950;;ccahecba_secretaria@hotmail.com;http://
Cámara de Comercio de Córdoba;;Avenida General Paz;Nº 79;Piso 2º;;5000;Córdoba;Córdoba;(54) (0351) 422-9950;(54) (0351) 422-9767;(54) (0351) 422-2570;camcomcba@arnet.com.ar;www.camcomcba.com.ar
